term,idf_weight,collection_frequency
citru,3.258097,1
overview,3.258097,1
group,3.258097,1
bear,3.258097,1
shrub,3.258097,1
lemon,3.258097,1
lime,3.258097,1
cocktail,3.258097,1
grapefruit,3.258097,1
mandarin,3.258097,1
easi,3.258097,1
peel,3.258097,1
tangerin,3.258097,1
clementin,3.258097,1
folat,3.258097,1
regular,3.258097,1
chronic,3.258097,1
diseas,3.258097,1
drain,3.258097,1
sunlight,3.258097,1
frost,3.258097,1
florida,3.258097,1
brazil,3.258097,1
countri,3.258097,1
dress,3.258097,1
zest,3.258097,1
essenc,3.258097,1
ingredi,3.258097,1
drink,3.258097,1
impress,3.258097,1
commod,3.258097,1
berri,3.258097,1
edibl,3.258097,1
true,3.258097,1
strawberri,3.258097,1
blueberri,3.258097,1
blue,3.258097,1
pack,3.258097,1
raspberri,3.258097,1
delic,3.258097,1
aggreg,3.258097,1
blackberri,3.258097,1
dark,3.258097,1
cranberri,3.258097,1
brain,3.258097,1
consist,3.258097,1
moistur,3.258097,1
chill,3.258097,1
hour,3.258097,1
bush,3.258097,1
plant,3.258097,1
good,3.258097,1
retain,3.258097,1
much,3.258097,1
nutrient,3.258097,1
powerhous,3.258097,1
countless,3.258097,1
grown,3.258097,1
humid,3.258097,1
mango,3.258097,1
pineappl,3.258097,1
papaya,3.258097,1
enzym,3.258097,1
banana,3.258097,1
energi,3.258097,1
passion,3.258097,1
pulp,3.258097,1
bromelain,3.258097,1
papain,3.258097,1
america,3.258097,1
south,3.258097,1
caribbean,3.258097,1
ideal,3.258097,1
warmth,3.258097,1
rainfal,3.258097,1
salsa,3.258097,1
main,3.258097,1
confect,3.258097,1
ship,3.258097,1
year,3.258097,1
economi,3.258097,1
bring,3.258097,1
diet,3.258097,1
drupe,3.258097,1
character,3.258097,1
outer,3.258097,1
fleshi,3.258097,1
part,3.258097,1
pit,3.258097,1
peach,3.258097,1
fuzzi,3.258097,1
plum,3.258097,1
cherri,3.258097,1
apricot,3.258097,1
velveti,3.258097,1
nectarin,3.258097,1
rel,3.258097,1
season,3.258097,1
peak,3.258097,1
septemb,3.258097,1
northern,3.258097,1
hemispher,3.258097,1
fat,3.258097,1
ey,3.258097,1
made,3.258097,1
prune,3.258097,1
cobbler,3.258097,1
compot,3.258097,1
favorit,3.258097,1
appl,3.258097,1
cultivar,3.258097,1
thousand,3.258097,1
granni,3.258097,1
smith,3.258097,1
fuji,3.258097,1
shelf,3.258097,1
life,3.258097,1
gala,3.258097,1
pleasant,3.258097,1
crunch,3.258097,1
honeycrisp,3.258097,1
exception,3.258097,1
golden,3.258097,1
mellow,3.258097,1
soft,3.258097,1
sai,3.258097,1
keep,3.258097,1
doctor,3.258097,1
awai,3.258097,1
pectin,3.258097,1
decidu,3.258097,1
cold,3.258097,1
dormanc,3.258097,1
cross,3.258097,1
pollin,3.258097,1
china,3.258097,1
usa,3.258097,1
poland,3.258097,1
maintain,3.258097,1
month,3.258097,1
cider,3.258097,1
vinegar,3.258097,1
shine,3.258097,1
cake,3.258097,1
pork,3.258097,1
poultri,3.258097,1
longev,3.258097,1
melon,3.258097,1
watermelon,3.258097,1
cucurbitacea,3.258097,1
famili,3.258097,1
hydrat,3.258097,1
weather,3.258097,1
cantaloup,3.258097,1
net,3.258097,1
rind,3.258097,1
muski,3.258097,1
aroma,3.258097,1
honeydew,3.258097,1
pale,3.258097,1
canari,3.258097,1
bright,3.258097,1
mild,3.258097,1
galia,3.258097,1
along,3.258097,1
lycopen,3.258097,1
temperatur,3.258097,1
full,3.258097,1
sun,3.258097,1
ampl,3.258097,1
trail,3.258097,1
ripe,3.258097,1
select,3.258097,1
feel,3.258097,1
heavi,3.258097,1
emit,3.258097,1
whole,3.258097,1
room,3.258097,1
cut,3.258097,1
refriger,3.258097,1
idea,3.258097,1
sorbet,3.258097,1
prosciutto,3.258097,1
wrap,3.258097,1
appet,3.258097,1
subtl,3.258097,1
altern,3.258097,1
grape,3.258097,1
wine,3.258097,1
woodi,3.258097,1
come,3.258097,1
tabl,3.258097,1
bred,3.258097,1
seedless,3.258097,1
thicker,3.258097,1
raisin,3.258097,1
