document_id,term_id,frequency
0,0,10
0,1234,8
0,1,1
0,1260,2
0,1261,1
0,1262,1
0,1263,1
0,1252,1
0,1235,1
0,2,1
0,3,1
0,1080,2
0,4,1
0,964,1
0,965,1
0,1236,3
0,1081,1
0,1222,2
0,1223,1
0,1243,2
0,761,1
0,762,1
0,1142,2
0,1082,1
0,763,1
0,1224,2
0,1237,3
0,1244,1
0,1185,1
0,1208,1
0,1083,1
0,1225,1
0,1143,1
0,764,1
0,966,1
0,1226,2
0,1144,2
0,5,2
0,1145,1
0,765,1
0,1245,1
0,766,1
0,1084,2
0,6,1
0,1146,1
0,1147,1
0,1257,2
0,7,1
0,967,1
0,8,1
0,1249,1
0,767,1
0,768,1
0,1085,1
0,769,1
0,9,1
0,1148,1
0,10,1
0,11,1
0,1255,2
0,12,1
0,13,1
0,1209,1
0,1210,1
0,770,1
0,1211,1
0,771,1
0,1186,1
0,1187,1
0,1212,1
0,1253,2
0,1259,2
0,772,2
0,1086,1
0,1149,1
0,14,1
0,1188,1
0,1189,1
0,15,1
0,968,2
0,1087,1
0,969,1
0,970,1
0,16,1
0,17,1
0,1150,1
0,773,1
0,971,1
0,1213,1
0,1214,1
0,18,1
0,774,1
0,1254,1
0,775,1
0,19,1
0,972,1
0,1151,1
0,20,1
0,1152,1
0,1190,1
0,1088,1
0,973,1
0,21,1
0,22,1
0,776,1
0,23,1
0,777,1
0,778,1
0,1191,1
0,779,1
0,24,1
0,25,1
0,780,1
0,26,1
0,974,1
0,27,1
0,28,1
0,1264,1
0,1238,1
0,1153,1
0,975,1
0,29,1
0,1089,1
0,1256,1
0,781,1
0,1154,1
0,1227,1
0,782,1
0,30,1
1,31,13
1,1208,2
1,1260,2
1,1234,5
1,1261,1
1,1262,1
1,1263,1
1,1215,1
1,1148,2
1,32,1
1,964,1
1,783,1
1,1155,2
1,1225,2
1,1145,2
1,1236,3
1,784,2
1,1237,2
1,785,1
1,33,2
1,786,1
1,1090,1
1,1224,3
1,1246,1
1,1212,4
1,1209,3
1,1192,2
1,1085,1
1,976,1
1,34,1
1,1091,1
1,977,1
1,35,1
1,36,1
1,37,1
1,1189,2
1,1222,2
1,38,2
1,39,1
1,40,1
1,1147,1
1,1193,1
1,41,1
1,42,1
1,1143,1
1,1146,1
1,787,1
1,43,1
1,788,1
1,1257,1
1,978,1
1,1144,1
1,1092,1
1,1081,1
1,979,1
1,980,1
1,789,1
1,790,1
1,791,1
1,1253,3
1,1211,2
1,1093,1
1,44,1
1,1186,1
1,1087,1
1,969,1
1,792,1
1,981,2
1,982,1
1,983,1
1,1086,1
1,1239,2
1,1156,1
1,793,1
1,767,1
1,765,1
1,774,1
1,1254,1
1,45,1
1,46,1
1,1150,1
1,1094,1
1,1213,1
1,775,1
1,47,1
1,48,1
1,984,1
1,985,1
1,1194,1
1,49,1
1,50,1
1,1258,1
1,1226,1
1,1095,2
1,769,1
1,1157,2
1,1191,1
1,1158,1
1,1210,1
1,794,1
1,1096,1
1,986,1
1,795,1
1,51,1
1,796,1
1,52,1
1,53,1
1,1244,1
1,1264,1
1,1240,1
1,1159,1
1,54,1
1,55,1
1,1238,1
1,1153,1
1,56,1
1,1214,1
2,971,10
2,1234,17
2,1260,2
2,1261,1
2,1262,1
2,1263,1
2,1252,1
2,797,2
2,1097,2
2,57,1
2,987,1
2,58,2
2,1213,1
2,798,1
2,1098,1
2,1246,2
2,1099,1
2,1236,3
2,1193,1
2,1237,3
2,1089,1
2,1147,2
2,1094,2
2,1088,4
2,1085,1
2,59,1
2,1225,2
2,1143,1
2,799,1
2,988,1
2,1195,3
2,60,2
2,800,1
2,989,1
2,1151,1
2,965,1
2,1160,2
2,61,2
2,1249,1
2,1083,1
2,990,1
2,1161,2
2,983,1
2,62,2
2,63,1
2,991,1
2,992,1
2,64,1
2,801,1
2,65,1
2,1148,1
2,993,1
2,802,1
2,66,1
2,1244,1
2,1259,2
2,1222,2
2,1149,1
2,994,1
2,1241,1
2,67,1
2,68,1
2,1253,2
2,1235,3
2,803,1
2,1211,2
2,1212,1
2,1239,1
2,1152,1
2,1190,2
2,804,1
2,805,1
2,806,1
2,807,1
2,69,2
2,70,1
2,71,1
2,72,1
2,73,1
2,74,1
2,1142,1
2,1224,2
2,1095,1
2,986,1
2,1191,1
2,75,1
2,76,1
2,1157,1
2,808,1
2,1226,1
2,1100,1
2,1144,1
2,1194,1
2,995,1
2,1084,1
2,77,1
2,1154,1
2,1082,3
2,1101,1
2,809,1
2,78,1
2,1250,1
2,79,1
2,996,1
2,997,1
2,1256,1
2,1162,1
2,80,1
2,1264,1
2,81,1
2,82,1
2,1240,1
2,1227,1
2,782,1
2,810,1
3,799,9
3,1234,16
3,1260,2
3,1261,1
3,1262,1
3,1263,1
3,1215,1
3,811,1
3,998,1
3,83,1
3,84,1
3,85,1
3,86,1
3,87,1
3,812,1
3,88,1
3,1092,1
3,1161,1
3,1243,3
3,977,1
3,1143,1
3,1225,6
3,1236,2
3,1185,1
3,89,2
3,90,1
3,1187,4
3,993,1
3,1195,1
3,813,1
3,1160,1
3,1208,2
3,91,2
3,988,2
3,999,1
3,1145,3
3,1188,1
3,1155,1
3,92,1
3,1148,2
3,996,1
3,1239,1
3,814,1
3,1102,1
3,93,1
3,1083,1
3,94,1
3,815,1
3,95,1
3,96,1
3,1146,1
3,975,1
3,1193,1
3,97,3
3,1150,1
3,1094,1
3,1213,1
3,1000,1
3,1001,2
3,1226,2
3,997,1
3,98,1
3,1087,1
3,99,1
3,100,1
3,101,1
3,1002,1
3,1227,1
